CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,ContractType,InternetService,SupportCalls,PaymentMethod,Churn
CUST412,Female,70,1,56,56,Yearly,None,1,Cash,No
CUST413,Female,26,45,109,4905,Yearly,DSL,8,Card,Yes
CUST414,Male,60,23,117,2691,Yearly,None,5,Online,Yes
CUST415,Male,53,19,115,2185,Yearly,Fiber,9,Card,Yes
CUST416,Female,55,2,110,220,Yearly,DSL,9,Online,Yes
CUST417,Male,27,13,44,572,Monthly,None,5,Online,No
CUST418,Male,29,15,111,1665,Monthly,None,10,Card,Yes
CUST419,Female,55,47,27,1269,Monthly,Fiber,7,Cash,No
CUST420,Male,63,26,75,1950,Monthly,Fiber,1,Online,Yes
CUST421,Female,59,55,109,5995,Yearly,Fiber,9,Online,Yes
CUST422,Male,20,53,100,5300,Yearly,Fiber,7,Cash,No
CUST423,Female,18,65,98,6370,Monthly,None,3,Online,Yes
CUST424,Male,48,20,88,1760,Monthly,Fiber,7,Cash,No
CUST425,Male,25,13,52,676,Monthly,None,10,Card,Yes
CUST426,Male,68,57,25,1425,Yearly,DSL,8,Card,Yes
CUST427,Male,31,8,50,400,Yearly,Fiber,2,Cash,No
CUST428,Female,45,29,48,1392,Yearly,DSL,6,Cash,No
CUST429,Male,25,55,90,4950,Yearly,DSL,1,Card,No
CUST430,Male,29,32,98,3136,Monthly,DSL,8,Card,Yes
CUST431,Male,20,44,64,2816,Monthly,None,8,Cash,Yes
CUST432,Female,47,42,81,3402,Yearly,Fiber,0,Cash,No
CUST433,Female,26,20,48,960,Yearly,DSL,2,Card,Yes
CUST434,Female,21,49,73,3577,Monthly,None,10,Card,Yes
CUST435,Male,21,11,46,506,Yearly,DSL,9,Cash,Yes
CUST436,Female,67,19,105,1995,Yearly,None,10,Card,Yes
CUST437,Male,68,23,82,1886,Monthly,DSL,3,Card,Yes
CUST438,Male,62,60,112,6720,Yearly,DSL,6,Cash,No
CUST439,Male,22,22,83,1826,Yearly,DSL,4,Cash,Yes
CUST440,Female,56,33,98,3234,Monthly,DSL,1,Card,No
CUST441,Male,54,72,53,3816,Monthly,DSL,2,Online,No
CUST442,Male,31,20,89,1780,Monthly,Fiber,0,Online,Yes
CUST443,Male,24,20,72,1440,Monthly,DSL,8,Cash,Yes
CUST444,Female,29,71,57,4047,Monthly,None,4,Cash,No
CUST445,Male,49,10,103,1030,Monthly,DSL,1,Online,Yes
CUST446,Female,59,18,53,954,Monthly,Fiber,5,Cash,Yes
CUST447,Male,66,29,36,1044,Monthly,Fiber,2,Online,Yes
CUST448,Female,21,31,96,2976,Yearly,Fiber,3,Online,No
CUST449,Male,21,61,47,2867,Yearly,DSL,6,Cash,No
CUST450,Female,20,33,30,990,Yearly,None,4,Online,No
CUST451,Male,26,1,58,58,Yearly,DSL,6,Cash,No
CUST452,Female,43,6,108,648,Monthly,Fiber,1,Online,No
CUST453,Male,19,7,55,385,Monthly,Fiber,1,Cash,Yes
CUST454,Male,25,16,102,1632,Monthly,DSL,6,Cash,No
CUST455,Female,38,10,92,920,Monthly,Fiber,7,Cash,Yes
CUST456,Female,20,11,65,715,Yearly,DSL,7,Card,No
CUST457,Male,34,38,27,1026,Yearly,DSL,8,Card,Yes
CUST458,Female,34,59,29,1711,Monthly,Fiber,2,Card,No
CUST459,Male,21,48,29,1392,Yearly,DSL,3,Online,No
CUST460,Male,23,70,83,5810,Monthly,Fiber,8,Card,Yes
CUST461,Male,58,15,52,780,Monthly,Fiber,8,Cash,Yes
CUST462,Male,58,43,112,4816,Yearly,DSL,1,Cash,No
CUST463,Male,19,72,118,8496,Monthly,Fiber,4,Card,Yes
CUST464,Male,37,60,22,1320,Monthly,DSL,10,Card,Yes
CUST465,Male,27,13,114,1482,Yearly,None,10,Online,Yes
CUST466,Male,37,15,99,1485,Yearly,Fiber,0,Card,No
CUST467,Female,55,2,20,40,Yearly,DSL,7,Cash,Yes
CUST468,Male,31,10,55,550,Yearly,DSL,6,Online,Yes
CUST469,Female,32,69,21,1449,Monthly,Fiber,4,Card,Yes
CUST470,Male,66,43,69,2967,Monthly,DSL,3,Card,Yes
CUST471,Male,67,23,91,2093,Monthly,DSL,2,Cash,No
CUST472,Male,38,67,68,4556,Yearly,None,8,Card,Yes
CUST473,Female,36,12,37,444,Monthly,DSL,1,Online,No
CUST474,Female,53,11,30,330,Yearly,DSL,3,Online,No
CUST475,Female,20,61,109,6649,Yearly,DSL,0,Online,No
CUST476,Male,45,31,115,3565,Monthly,Fiber,2,Online,Yes
CUST477,Female,50,63,119,7497,Yearly,Fiber,2,Cash,No
CUST478,Male,27,11,21,231,Monthly,DSL,2,Online,Yes
CUST479,Female,69,7,47,329,Yearly,Fiber,3,Online,No
CUST480,Female,46,2,117,234,Yearly,None,6,Card,No
CUST481,Female,55,69,47,3243,Yearly,None,7,Cash,No
CUST482,Female,18,50,88,4400,Yearly,None,9,Online,Yes
CUST483,Male,66,12,71,852,Yearly,None,9,Card,Yes
CUST484,Male,58,39,49,1911,Monthly,DSL,10,Card,Yes
CUST485,Female,32,21,103,2163,Monthly,Fiber,9,Online,Yes
CUST486,Female,58,15,86,1290,Yearly,Fiber,2,Online,No
CUST487,Female,28,46,80,3680,Yearly,DSL,10,Online,Yes
CUST488,Female,40,13,21,273,Monthly,DSL,1,Card,Yes
CUST489,Female,19,72,109,7848,Monthly,DSL,7,Cash,Yes
CUST490,Female,19,4,61,244,Monthly,None,0,Cash,Yes
CUST491,Female,54,57,36,2052,Yearly,DSL,8,Cash,Yes
CUST492,Female,40,59,115,6785,Yearly,None,6,Cash,No
CUST493,Female,69,52,73,3796,Yearly,DSL,2,Cash,No
CUST494,Female,51,66,119,7854,Yearly,Fiber,7,Card,No
CUST495,Female,49,37,46,1702,Monthly,Fiber,0,Card,No
CUST496,Female,39,53,23,1219,Yearly,DSL,5,Online,No
CUST497,Male,25,60,42,2520,Yearly,None,10,Cash,Yes
CUST498,Male,24,40,60,2400,Yearly,Fiber,8,Online,Yes
CUST499,Male,56,66,40,2640,Yearly,DSL,2,Card,No
CUST500,Male,19,38,37,1406,Yearly,DSL,3,Online,No
